metric,value
events,22901679
book_updates,1036690
trades,21864989
fills,764349
inventory,-88008
turnover,5.43288e+06
fees,543.288
realized_cash,-845.126
mark_price,0.00773575
equity_pnl,-1525.93
max_drawdown,1532.47
return_over_maxdd,-0.995733
maker_fill_share,1
inv_mean,37349.2
inv_std,61472.6
inv_max_abs,100999
